iter	Passed	Remaining
0	137	41181
1	139	20807
2	141	13996
3	143	10590
4	144	8544
5	146	7165
6	148	6203
7	149	5462
8	151	4883
9	153	4439
10	156	4099
11	157	3774
12	159	3523
13	160	3285
14	162	3092
15	164	2914
16	165	2755
17	166	2614
18	168	2486
19	169	2372
20	170	2269
21	172	2175
22	174	2099
23	175	2021
24	177	1953
25	178	1886
26	180	1826
27	182	1768
28	183	1718
29	185	1666
30	187	1627
31	188	1581
32	190	1537
33	192	1503
34	195	1476
35	196	1441
36	197	1405
37	199	1376
38	201	1346
39	202	1317
40	204	1289
41	205	1261
42	207	1237
43	208	1213
44	209	1189
45	211	1167
46	213	1151
47	215	1130
48	216	1110
49	218	1090
50	219	1071
51	221	1056
52	223	1039
53	224	1022
54	226	1009
55	227	992
56	229	978
57	230	962
58	232	948
59	233	935
60	235	921
61	237	910
62	238	898
63	240	887
64	242	874
65	243	864
66	245	852
67	246	841
68	248	831
69	249	820
70	251	812
71	255	808
72	258	804
73	261	797
74	262	786
75	263	777
76	265	768
77	266	758
78	268	750
79	269	741
80	271	735
81	273	727
82	274	718
83	276	710
84	277	702
85	279	694
86	282	690
87	285	688
88	287	681
89	289	674
90	291	668
91	292	660
92	294	655
93	296	649
94	297	642
95	298	635
96	300	629
97	302	623
98	304	619
99	307	615
100	309	609
101	310	603
102	312	598
103	314	593
104	317	590
105	319	584
106	323	584
107	327	583
108	329	577
109	330	571
110	333	568
111	335	562
112	336	557
113	338	551
114	340	548
115	342	543
116	345	540
117	348	537
118	349	531
119	350	526
120	352	522
121	355	518
122	358	515
123	362	514
124	366	513
125	368	508
126	371	505
127	373	502
128	377	500
129	378	494
130	380	490
131	384	489
132	388	487
133	392	486
134	395	483
135	397	479
136	399	474
137	401	471
138	403	467
139	405	462
140	406	458
141	407	453
142	409	449
143	410	445
144	412	441
145	414	436
146	416	433
147	417	429
148	419	424
149	420	420
150	421	416
151	423	412
152	424	407
153	425	403
154	427	399
155	429	396
156	430	391
157	431	388
158	433	384
159	435	380
160	436	376
161	437	373
162	439	369
163	441	365
164	442	362
165	443	358
166	445	354
167	446	350
168	448	347
169	449	343
170	450	339
171	451	336
172	453	332
173	454	329
174	455	325
175	457	322
176	458	318
177	464	318
178	466	315
179	467	311
180	468	308
181	469	304
182	471	301
183	472	297
184	474	294
185	475	291
186	477	288
187	478	285
188	479	281
189	480	278
190	483	275
191	484	272
192	485	269
193	487	266
194	489	263
195	490	260
196	492	257
197	493	254
198	494	251
199	495	247
200	497	244
201	498	241
202	499	238
203	500	235
204	502	232
205	503	229
206	504	226
207	506	223
208	507	220
209	508	218
210	509	215
211	511	212
212	512	209
213	514	206
214	515	203
215	517	201
216	519	198
217	520	195
218	521	192
219	522	190
220	524	187
221	525	184
222	526	181
223	528	179
224	529	176
225	530	173
226	531	171
227	533	168
228	534	165
229	535	163
230	536	160
231	538	157
232	539	155
233	540	152
234	541	149
235	542	147
236	544	144
237	545	142
238	546	139
239	547	136
240	549	134
241	550	131
242	551	129
243	553	126
244	554	124
245	555	122
246	556	119
247	558	117
248	559	114
249	561	112
250	562	109
251	563	107
252	564	104
253	566	102
254	567	100
255	569	97
256	570	95
257	571	93
258	573	90
259	574	88
260	575	86
261	577	83
262	578	81
263	580	79
264	581	76
265	583	74
266	584	72
267	585	69
268	587	67
269	588	65
270	589	63
271	591	60
272	592	58
273	593	56
274	595	54
275	596	51
276	598	49
277	599	47
278	600	45
279	602	43
280	603	40
281	605	382282	606	362283	607	342284	609	32285	611	29
286	612	27
287	614	25
288	615	23
289	617	21
290	618	19
291	620	16
292	621	14
293	623	12
294	624	10
295	626	8
296	627	6
297	628	4
298	631	2
299	632	0

	675	0
